score,area,area_rank,title,company,location,location_tier,work_mode,employment_type,seniority,areas,flags,source,posted_at,first_seen_at,url
36,adult-education,4,ORGANIZATOR IZOBRAŽEVANJA ODRASLIH - M/Ž,Ljudska univerza Črnomelj,ČRNOMELJ,other,unknown,fixed-term,junior,adult-education,,zrsz,2026-09-15,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3478801/#/pdm/3478801
36,projects,2,PLC inženir / projektni vodja (m/ž),Cosylab d.d.,Slovenija,other,unknown,unknown,senior,projects,,mojedelo,2026-08-30,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/plc-inzenir-projektni-vodja-m-z/251e7b24-0ec0-4ab5-88c8-fef20b96256f
36,projects,2,Projektni vodja m/ž/d,Sibo G.  d.o.o.,Škofja Loka,other,unknown,unknown,senior,projects,,mojedelo,2026-08-25,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/projektni-vodja-m-z-d/96ebf855-769a-40d4-a934-12750cc05b39
36,projects,2,Sales & Project Coordinator (m/ž),REKRUTER jkps d.o.o.,Savinjska,other,unknown,unknown,unknown,projects,,mojedelo,2026-09-08,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/sales-project-coordinator-m-z/b06c219c-b79a-4673-bb6f-fa5467aacadd
36,projects,2,Vodja projektov,Elektrosignal d.o.o.,Celje,other,unknown,unknown,senior,projects,,mojedelo,2026-08-18,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/vodja-projektov/ad12cb27-86f9-491b-95f5-7d2b1124b6c8
36,projects,2,Vodja projektov (m/ž),ORA Krasa in Brkinov d.o.o.,Sežana,other,unknown,unknown,senior,projects,,mojedelo,2026-09-14,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/vodja-projektov-m-z/05ca332b-ef37-46f3-b84e-a0c7e67ea988
36,projects,2,Vodja projektov elektronik – začetnik (m/ž),Cleangrad d.o.o,Ljutomer,other,unknown,unknown,senior,projects,,mojedelo,2026-09-09,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/vodja-projektov-elektronik-zacetnik-m-z/0545619a-dcc1-4f76-a301-44a969444253
35,projects,2,PROJEKTNI SODELAVEC V – ŠIFRA DM E095091 – V SLUŽBI ZA OBRAČUN PLAČ IN REGISTRACIJO DELOVNEGA ČASA - M/Ž,UNIVERZITETNI KLINIČNI CENTER MARIBOR,MARIBOR,other,unknown,permanent,unknown,projects,"title-reject:obračun plač,body:obračun plač",zrsz,2026-09-09,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3471838/#/pdm/3471838
32,hr,3,Kadrovik (m/ž),ETI Elektroelement d.o.o.,Izlake,other,unknown,unknown,unknown,"hr,adult-education",,mojedelo,2026-09-07,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/kadrovik-m-z/f03db4ca-9253-4d84-a571-21d828d7d10e
24,eu-projects,5,"Višji svetovalec za ceste (m/ž) v Uradu za infrastrukturo, Oddelku za promet in mobilnost",Mestna občina Novo mesto,Novo mesto,other,unknown,unknown,mid,eu-projects,,mojedelo,2026-08-30,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/visji-svetovalec-za-ceste-m-z-v-uradu-za-infrastrukturo-oddelku-za-promet-in-mobilnost/71c7dad7-ae57-462b-b172-93a201e58d00
23,hr,3,KADROVIK - M/Ž,"Mavida Ribnica, družba za upravljanje in gradnjo domov, d.o.o.",KRANJ,other,unknown,permanent,mid,hr,"body:obračun plač,body:vodenje evidenc,body:arhiviranje",zrsz,2026-09-08,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3474054/#/pdm/3474054
12,events,8,Junior Sales And Event Coordinator,ETC Adriatic - Corporate Events,Slovenia,other,unknown,unknown,junior,events,,linkedin,2026-09-10,2026-09-15T18:28:18.605Z,https://si.linkedin.com/jobs/view/junior-sales-and-event-coordinator-at-etc-adriatic-corporate-events-4463487119
8,hr,3,Kadrovik (m/ž),Mavida Ribnica d.o.o.,Brnik,other,unknown,unknown,mid,hr,"body:obračun plač,body:vodenje evidenc,body:arhiviranje",mojedelo,2026-09-06,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/kadrovik-m-z/cf312c6f-5b98-4f91-a032-4bff09610342
